Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
0054;19000;PATRIK AGUIAR;PTN;1.228;0,56 %
0055;44010;PELÉ;PRP;1.224;0,56 %
0056;33800;MAMÃE;PMN - PHS / PMN;1.148;0,53 %
0057;51123;GEORGE ALVES;PEN - PTB / PTC / PEN;1.129;0,52 %
0058;51000;LEVI JUNIOR;PEN - PTB / PTC / PEN;1.128;0,52 %
0059;90123;MARCOS SOUZA;PROS - PP / PT do B / PC do B / PROS;1.122;0,51 %
0060;11234;DUDA DA BARRA;PP - PP / PT do B / PC do B / PROS;1.100;0,50 %
0061;17123;PAULO MARQUES;PSL - PSL / PMB;1.090;0,50 %
0062;44567;PALADINI;PRP;1.082;0,50 %
0063;44100;ROSE DAS FEIRAS;PRP;1.071;0,49 %
0064;17300;BRUNO ROCHA;PSL - PSL / PMB;1.066;0,49 %
0065;12000;PROFESSOR JOÃO NETO;PDT - PDT / PSB / PPS;1.038;0,48 %
0066;31360;GORDINHO DO BODYBOARD;PHS - PHS / PMN;1.006;0,46 %
0067;33333;ZÉ LUIZ FRISSO;PMN - PHS / PMN;1.005;0,46 %
0068;14000;DIVAL JUNIOR;PTB - PTB / PTC / PEN;1.003;0,46 %
0069;17700;JOEL MIRANDA;PSL - PSL / PMB;914;0,42 %
0070;10000;MARCELO DA FARMÁCIA;PRB - PRB / PSDC / REDE;912;0,42 %
0071;31111;HUDSON RENOLD;PHS - PHS / PMN;906;0,42 %
0072;17222;SANDRA DIRETORA;PSL - PSL / PMB;904;0,41 %
0073;45123;DEVAIR FERREIRA;PSDB - PSDB / PR;900;0,41 %
0074;31500;SANDRO FRANZOTTI;PHS - PHS / PMN;900;0,41 %
0075;44123;GIL;PRP;881;0,40 %
0076;36100;FELIPE TRABACH;PTC - PTB / PTC / PEN;866;0,40 %
0077;12444;EWERTON (VETINHO);PDT - PDT / PSB / PPS;864;0,40 %
0078;51555;CILAS;PEN - PTB / PTC / PEN;858;0,39 %
0079;17001;DOUGLAS DA MISSÃO;PSL - PSL / PMB;856;0,39 %
0080;36333;JOÃOZIN CABELEIREIRO;PTC - PTB / PTC / PEN;856;0,39 %
